Processo,Data,Valor
00787690820254039900,28/03/2025,"568.575,46"
00787709020254039900,28/03/2025,"265.756,48"
00787717520254039900,28/03/2025,"330.837,98"
00787726020254039900,28/03/2025,"403.785,66"
00787743020254039900,28/03/2025,"204.436,67"
00787751520254039900,28/03/2025,"297.801,65"
00787769720254039900,28/03/2025,"310.345,02"
00787778220254039900,28/03/2025,"300.043,45"
00787812220254039900,28/03/2025,"44.709,38"
00787820720254039900,28/03/2025,"207.333,98"
00787838920254039900,28/03/2025,"203.517,16"
00787847420254039900,28/03/2025,"178.157,87"
00787855920254039900,28/03/2025,"261.244,01"
00787864420254039900,28/03/2025,"352.867,24"
00787872920254039900,28/03/2025,"95.741,73"
00787881420254039900,28/03/2025,"186.505,51"
00787899620254039900,28/03/2025,"217.505,62"
00787916620254039900,28/03/2025,"309.408,25"
00787925120254039900,28/03/2025,"275.909,73"
00787933620254039900,28/03/2025,"171.122,85"
00787942120254039900,28/03/2025,"589.967,48"
00787950620254039900,28/03/2025,"30.818,74"
00787968820254039900,28/03/2025,"338.776,94"
00787977320254039900,28/03/2025,"165.308,54"
00787994320254039900,28/03/2025,"189.684,10"
00788002820254039900,28/03/2025,"228.829,02"
00788141220254039900,28/03/2025,"113.866,93"
00788228620254039900,28/03/2025,"171.769,19"
00788271120254039900,28/03/2025,"113.510,71"
00788488420254039900,28/03/2025,"267.440,50"
00788713020254039900,28/03/2025,"127.012,42"
00788964320254039900,28/03/2025,"98.989,34"
00789111220254039900,28/03/2025,"144.114,31"
00789129420254039900,28/03/2025,"144.114,31"
00789207120254039900,28/03/2025,"196.288,12"
00789492420254039900,28/03/2025,"129.811,42"
00789519120254039900,28/03/2025,"207.985,63"
00789536120254039900,28/03/2025,"176.196,78"
00789544620254039900,28/03/2025,"131.294,93"
00789561620254039900,28/03/2025,"106.077,95"
00789579820254039900,28/03/2025,"184.148,98"
00789596820254039900,28/03/2025,"191.763,33"
00789605320254039900,28/03/2025,"71.638,69"
00789649020254039900,28/03/2025,"529.856,27"
00789666020254039900,28/03/2025,"100.803,43"
00789674520254039900,28/03/2025,"90.345,75"
00789839620254039900,28/03/2025,"212.066,60"
00790020520254039900,28/03/2025,"240.315,87"
00790185620254039900,28/03/2025,"384.271,17"
00790254820254039900,28/03/2025,"254.753,19"
00790271820254039900,28/03/2025,"403.219,99"
00790324020254039900,28/03/2025,"370.407,66"
00790341020254039900,28/03/2025,"136.843,07"
00790359220254039900,28/03/2025,"171.128,55"
00790393220254039900,28/03/2025,"129.261,41"
00790470920254039900,28/03/2025,"188.101,08"
